Title	Year	Director	Genre	Country	Rating
Fifty Shades of Grey	2015	Sam Taylor-Johnson	Drama, Romance, Thriller	USA	4.1
Cars	2006	John Lasseter, Joe Ranft	Animation, Adventure, Comedy	USA	7.1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	Stanley Kubrick	Comedy	USA, UK	8.5
Star Wars: Episode IV - A New Hope	1977	George Lucas	Action, Adventure, Fantasy	USA	8.7
Alice in Wonderland	1951	Clyde Geronimi, Wilfred Jackson, Hamilton Luske	Animation, Adventure, Family	USA	7.4
WarGames	1983	John Badham	Sci-Fi, Thriller	USA	7.1
Love Story	1970	Arthur Hiller	Drama, Romance	USA	6.9
The Peanuts Movie	2015	Steve Martino	Animation, Adventure, Comedy	USA	7.1
Finding Nemo	2003	Andrew Stanton, Lee Unkrich	Animation, Adventure, Comedy	USA	8.1
Pretty Woman	1990	Garry Marshall	Comedy, Romance	USA	6.9
101 Dalmatians	1961	Clyde Geronimi, Hamilton Luske, Wolfgang Reitherman	Animation, Adventure, Comedy	USA	7.2
Reservoir Dogs	1992	Quentin Tarantino	Crime, Drama, Thriller	USA	8.3
Deep Red	1975	Dario Argento	Horror, Mystery, Thriller	Italy	7.7
Minions	2015	Kyle Balda, Pierre Coffin	Animation, Action, Adventure	USA	6.4
Blood Diamond	2006	Edward Zwick	Adventure, Drama, Thriller	Germany, USA	8.0
Iron Man	2008	Jon Favreau	Action, Adventure, Sci-Fi	USA	7.9
Harry Potter and the Deathly Hallows: Part 1	2010	David Yates	Adventure, Family, Fantasy	UK, USA	7.7
The Social Network	2010	David Fincher	Biography, Drama	USA	7.7
Jaws	1975	Steven Spielberg	Adventure, Drama, Thriller	USA	8.0
Captain America: The First Avenger	2011	Joe Johnston	Action, Adventure, Sci-Fi	USA	6.9
Six Days Seven Nights	1998	Ivan Reitman	Action, Adventure, Comedy	USA	5.8
The Thin Red Line	1998	Terrence Malick	Drama, War	USA	7.6
Vertigo	1958	Alfred Hitchcock	Mystery, Romance, Thriller	USA	8.4
From Dusk Till Dawn	1996	Robert Rodriguez	Action, Crime, Horror	USA	7.3
Chicken Run	2000	Peter Lord, Nick Park	Animation, Adventure, Comedy	UK, USA, France	7.0
Il Sorpasso	1962	Dino Risi	Comedy, Drama	Italy	8.2
A Fistful of Dollars	1964	Sergio Leone	Western	Italy, Spain, West Germany	8.0
The Love Bug	1968	Robert Stevenson	Comedy, Family, Sport	USA	6.4
Good Will Hunting	1997	Gus Van Sant	Drama	USA	8.3
The Fast and the Furious	2001	Rob Cohen	Action, Crime, Thriller	USA, Germany	6.7
Gattaca	1997	Andrew Niccol	Drama, Sci-Fi, Thriller	USA	7.8
Labyrinth	1986	Jim Henson	Adventure, Family, Fantasy	UK, USA	7.4
Speed Racer	2008	Lana Wachowski, Lilly Wachowski	Action, Family, Sci-Fi	USA, Australia, Germany	6.1
Memento	2000	Christopher Nolan	Mystery, Thriller	USA	8.5
Creed	2015	Ryan Coogler	Drama, Sport	USA	7.6
The Dukes of Hazzard	2005	Jay Chandrasekhar	Action, Adventure, Comedy	USA	5.1
Alien	1979	Ridley Scott	Horror, Sci-Fi	UK, USA	8.5
Pulp Fiction	1994	Quentin Tarantino	Crime, Drama	USA	8.9
The Pianist	2002	Roman Polanski	Biography, Drama, War	France, Poland, Germany, UK	8.5
Monsters, Inc.	2001	Pete Docter, David Silverman, Lee Unkrich	Animation, Adventure, Comedy	USA	8.1
Bee Movie	2007	Steve Hickner, Simon J. Smith	Animation, Adventure, Comedy	USA, Australia	6.2
Batman	1989	Tim Burton	Action, Adventure	USA, UK	7.6
